"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality"
"1269" 6.9 0.41 0.31 2 0.079 21 51 0.99668 3.47 0.55 9.5 "6"
"961" 8.5 0.47 0.27 1.9 0.058 18 38 0.99518 3.16 0.85 11.1 "6"
"1365" 7.2 0.605 0.02 1.9 0.096 10 31 0.995 3.46 0.53 11.8 "6"
"1145" 7.3 0.32 0.23 2.3 0.066 35 70 0.99588 3.43 0.62 10.1 "5"
"462" 8.3 0.615 0.22 2.6 0.087 6 19 0.9982 3.26 0.61 9.3 "5"
"1237" 7.8 0.55 0 1.7 0.07 7 17 0.99659 3.26 0.64 9.4 "6"
"899" 8.3 0.31 0.39 2.4 0.078 17 43 0.99444 3.31 0.77 12.5 "7"
"702" 7 0.65 0.02 2.1 0.066 8 25 0.9972 3.47 0.67 9.5 "6"
"1529" 7.9 0.29 0.49 2.2 0.096 21 59 0.99714 3.31 0.67 10.1 "6"
"383" 8.3 0.26 0.42 2 0.08 11 27 0.9974 3.21 0.8 9.4 "6"
"1124" 10.7 0.4 0.37 1.9 0.081 17 29 0.99674 3.12 0.65 11.2 "6"
"837" 6.7 0.28 0.28 2.4 0.012 36 100 0.99064 3.26 0.39 11.7 "7"
"229" 7.7 0.43 0.25 2.6 0.073 29 63 0.99615 3.37 0.58 10.5 "6"
"1050" 9.3 0.5 0.36 1.8 0.084 6 17 0.99704 3.27 0.77 10.8 "6"
"1152" 6.1 0.58 0.23 2.5 0.044 16 70 0.99352 3.46 0.65 12.5 "6"
"1247" 7.4 0.74 0.07 1.7 0.086 15 48 0.99502 3.12 0.48 10 "5"
"1375" 6.8 0.815 0 1.2 0.267 16 29 0.99471 3.32 0.51 9.8 "3"
"1379" 7.2 0.45 0.15 2 0.078 10 28 0.99609 3.29 0.51 9.9 "6"
"1085" 7.2 0.38 0.3 1.8 0.073 31 70 0.99685 3.42 0.59 9.5 "6"
"1525" 6 0.42 0.19 2 0.075 22 47 0.99522 3.39 0.78 10 "6"
"1108" 9.1 0.3 0.41 2 0.068 10 24 0.99523 3.27 0.85 11.7 "7"
"341" 12.2 0.34 0.5 2.4 0.066 10 21 1 3.12 1.18 9.2 "6"
"408" 12 0.39 0.66 3 0.093 12 30 0.9996 3.18 0.63 10.8 "7"
"289" 8.7 0.52 0.09 2.5 0.091 20 49 0.9976 3.34 0.86 10.6 "7"
"31" 6.7 0.675 0.07 2.4 0.089 17 82 0.9958 3.35 0.54 10.1 "5"
"220" 7.8 0.53 0.33 2.4 0.08 24 144 0.99655 3.3 0.6 9.5 "5"
"1157" 8.5 0.18 0.51 1.75 0.071 45 88 0.99524 3.33 0.76 11.8 "7"
"800" 9.4 0.5 0.34 3.6 0.082 5 14 0.9987 3.29 0.52 10.7 "6"
"54" 8.6 0.38 0.36 3 0.081 30 119 0.997 3.2 0.56 9.4 "5"
"354" 13.5 0.53 0.79 4.8 0.12 23 77 1.0018 3.18 0.77 13 "5"
"595" 7.9 0.72 0.17 2.6 0.096 20 38 0.9978 3.4 0.53 9.5 "5"
"135" 7.9 1.04 0.05 2.2 0.084 13 29 0.9959 3.22 0.55 9.9 "6"
"428" 9.5 0.78 0.22 1.9 0.077 6 32 0.9988 3.26 0.56 10.6 "6"
"1403" 7.6 0.3 0.42 2 0.052 6 24 0.9963 3.44 0.82 11.9 "6"
"532" 11.9 0.38 0.49 2.7 0.098 12 42 1.0004 3.16 0.61 10.3 "5"
"1511" 6.4 0.36 0.21 2.2 0.047 26 48 0.99661 3.47 0.77 9.7 "6"
"226" 7.7 0.43 0.25 2.6 0.073 29 63 0.99615 3.37 0.58 10.5 "6"
"315" 7.4 0.36 0.29 2.6 0.087 26 72 0.99645 3.39 0.68 11 "5"
"505" 10.5 0.24 0.42 1.8 0.077 6 22 0.9976 3.21 1.05 10.8 "7"
"215" 7.8 0.735 0.08 2.4 0.092 10 41 0.9974 3.24 0.71 9.8 "6"
"900" 8.3 1.02 0.02 3.4 0.084 6 11 0.99892 3.48 0.49 11 "3"
"45" 6.8 0.67 0.02 1.8 0.05 5 11 0.9962 3.48 0.52 9.5 "5"
"44" 8.1 0.66 0.22 2.2 0.069 9 23 0.9968 3.3 1.2 10.3 "5"
"1506" 6.7 0.76 0.02 1.8 0.078 6 12 0.996 3.55 0.63 9.95 "3"
"369" 10.3 0.34 0.52 2.8 0.159 15 75 0.9998 3.18 0.64 9.4 "5"
"1156" 8.3 0.6 0.25 2.2 0.118 9 38 0.99616 3.15 0.53 9.8 "5"
"945" 8.3 0.3 0.49 3.8 0.09 11 24 0.99498 3.27 0.64 12.1 "7"
"863" 7.5 0.42 0.32 2.7 0.067 7 25 0.99628 3.24 0.44 10.4 "5"
"556" 15.5 0.645 0.49 4.2 0.095 10 23 1.00315 2.92 0.74 11.1 "5"
"1020" 7 0.5 0.14 1.8 0.078 10 23 0.99636 3.53 0.61 10.4 "5"
"1533" 7.2 0.53 0.13 2 0.058 18 22 0.99573 3.21 0.68 9.9 "6"
"344" 10.9 0.39 0.47 1.8 0.118 6 14 0.9982 3.3 0.75 9.8 "6"
"252" 7.1 0.6 0 1.8 0.074 16 34 0.9972 3.47 0.7 9.9 "6"
"603" 7.7 0.835 0 2.6 0.081 6 14 0.9975 3.3 0.52 9.3 "5"
"735" 7.7 0.56 0.2 2 0.075 9 39 0.9987 3.48 0.62 9.3 "5"
"731" 9.5 0.55 0.66 2.3 0.387 12 37 0.9982 3.17 0.67 9.6 "5"
"1394" 8 0.52 0.25 2 0.078 19 59 0.99612 3.3 0.48 10.2 "5"
"968" 8.5 0.66 0.2 2.1 0.097 23 113 0.99733 3.13 0.48 9.2 "5"
"166" 7.8 0.63 0.48 1.7 0.1 14 96 0.9961 3.19 0.62 9.5 "5"
"1014" 7.5 0.71 0 1.6 0.092 22 31 0.99635 3.38 0.58 10 "6"
"890" 10.7 0.9 0.34 6.6 0.112 23 99 1.00289 3.22 0.68 9.3 "5"
"1516" 6.9 0.84 0.21 4.1 0.074 16 65 0.99842 3.53 0.72 9.25 "6"
"366" 10 0.42 0.5 3.4 0.107 7 21 0.9979 3.26 0.93 11.8 "6"
"362" 8.6 0.45 0.31 2.6 0.086 21 50 0.9982 3.37 0.91 9.9 "6"
"823" 6.7 0.54 0.13 2 0.076 15 36 0.9973 3.61 0.64 9.8 "5"
"580" 10.6 0.31 0.49 2.2 0.063 18 40 0.9976 3.14 0.51 9.8 "6"
"190" 7.9 0.49 0.32 1.9 0.082 17 144 0.9968 3.2 0.55 9.5 "5"
"1363" 11.6 0.475 0.4 1.4 0.091 6 28 0.99704 3.07 0.65 10.0333333333333 "6"
"974" 8.5 0.34 0.44 1.7 0.079 6 12 0.99605 3.52 0.63 10.7 "5"
"1494" 7.7 0.54 0.26 1.9 0.089 23 147 0.99636 3.26 0.59 9.7 "5"
"1472" 6.7 0.7 0.08 3.75 0.067 8 16 0.99334 3.43 0.52 12.6 "5"
"1279" 8 0.715 0.22 2.3 0.075 13 81 0.99688 3.24 0.54 9.5 "6"
"1051" 7.1 0.43 0.17 1.8 0.082 27 51 0.99634 3.49 0.64 10.4 "5"
"867" 6.8 0.49 0.22 2.3 0.071 13 24 0.99438 3.41 0.83 11.3 "6"
"151" 7.3 0.33 0.47 2.1 0.077 5 11 0.9958 3.33 0.53 10.3 "6"
"375" 14 0.41 0.63 3.8 0.089 6 47 1.0014 3.01 0.81 10.8 "6"
"1474" 6.1 0.6 0.08 1.8 0.071 14 45 0.99336 3.38 0.54 11 "5"
"893" 10.1 0.45 0.23 1.9 0.082 10 18 0.99774 3.22 0.65 9.3 "6"
"1091" 10 0.26 0.54 1.9 0.083 42 74 0.99451 2.98 0.63 11.8 "8"
"405" 7.7 0.69 0.05 2.7 0.075 15 27 0.9974 3.26 0.61 9.1 "5"
"1539" 6.2 0.64 0.09 2.5 0.081 15 26 0.99538 3.57 0.63 12 "5"
"683" 8.5 0.46 0.31 2.25 0.078 32 58 0.998 3.33 0.54 9.8 "5"
"391" 5.6 0.85 0.05 1.4 0.045 12 88 0.9924 3.56 0.82 12.9 "8"
"791" 7.4 0.37 0.43 2.6 0.082 18 82 0.99708 3.33 0.68 9.7 "6"
"804" 7.7 0.56 0.08 2.5 0.114 14 46 0.9971 3.24 0.66 9.6 "6"
"678" 8.6 0.8 0.11 2.3 0.084 12 31 0.9979 3.4 0.48 9.9 "5"
"1065" 8.2 0.74 0.09 2 0.067 5 10 0.99418 3.28 0.57 11.8 "6"
"1556" 7 0.56 0.17 1.7 0.065 15 24 0.99514 3.44 0.68 10.55 "7"
"1160" 10.2 0.41 0.43 2.2 0.11 11 37 0.99728 3.16 0.67 10.8 "5"
"495" 6.5 0.39 0.23 8.3 0.051 28 91 0.9952 3.44 0.55 12.1 "6"
"526" 10.4 0.64 0.24 2.8 0.105 29 53 0.9998 3.24 0.67 9.9 "5"
"729" 6.4 0.57 0.02 1.8 0.067 4 11 0.997 3.46 0.68 9.5 "5"
"116" 9.4 0.4 0.31 2.2 0.09 13 62 0.9966 3.07 0.63 10.5 "6"
"994" 7.1 0.34 0.28 2 0.082 31 68 0.99694 3.45 0.48 9.4 "5"
"1042" 6.9 0.49 0.19 1.7 0.079 13 26 0.99547 3.38 0.64 9.8 "6"
"1139" 7.5 0.41 0.15 3.7 0.104 29 94 0.99786 3.14 0.58 9.1 "5"
"1549" 11.2 0.4 0.5 2 0.099 19 50 0.99783 3.1 0.58 10.4 "5"
"660" 7.1 0.84 0.02 4.4 0.096 5 13 0.997 3.41 0.57 11 "4"
"132" 5.6 0.5 0.09 2.3 0.049 17 99 0.9937 3.63 0.63 13 "5"
"1304" 8 0.28 0.44 1.8 0.081 28 68 0.99501 3.36 0.66 11.2 "5"
"487" 10.2 0.67 0.39 1.9 0.054 6 17 0.9976 3.17 0.47 10 "5"
"87" 8.6 0.49 0.28 1.9 0.11 20 136 0.9972 2.93 1.95 9.9 "6"
"1143" 6.9 0.45 0.11 2.4 0.043 6 12 0.99354 3.3 0.65 11.4 "6"
"1515" 6.9 0.84 0.21 4.1 0.074 16 65 0.99842 3.53 0.72 9.23333333333333 "6"
"1040" 8.9 0.5 0.21 2.2 0.088 21 39 0.99692 3.33 0.83 11.1 "6"
"1192" 6.5 0.885 0 2.3 0.166 6 12 0.99551 3.56 0.51 10.8 "5"
"1283" 7.9 0.765 0 2 0.084 9 22 0.99619 3.33 0.68 10.9 "6"
"416" 8.6 0.725 0.24 6.6 0.117 31 134 1.0014 3.32 1.07 9.3 "5"
"847" 6.4 0.64 0.21 1.8 0.081 14 31 0.99689 3.59 0.66 9.8 "5"
"1307" 9.7 0.69 0.32 2.5 0.088 22 91 0.9979 3.29 0.62 10.1 "5"
"201" 9.6 0.32 0.47 1.4 0.056 9 24 0.99695 3.22 0.82 10.3 "7"
"802" 8.6 0.55 0.09 3.3 0.068 8 17 0.99735 3.23 0.44 10 "5"
"382" 13.7 0.415 0.68 2.9 0.085 17 43 1.0014 3.06 0.8 10 "6"
"1209" 7.2 0.36 0.46 2.1 0.074 24 44 0.99534 3.4 0.85 11 "7"
"759" 8.1 0.87 0 2.2 0.084 10 31 0.99656 3.25 0.5 9.8 "5"
"794" 7.7 0.6 0 2.6 0.055 7 13 0.99639 3.38 0.56 10.8 "5"
"67" 7.5 0.52 0.11 1.5 0.079 11 39 0.9968 3.42 0.58 9.6 "5"
"617" 9.6 0.6 0.5 2.3 0.079 28 71 0.9997 3.5 0.57 9.7 "5"
"1031" 7.1 0.59 0 2.1 0.091 9 14 0.99488 3.42 0.55 11.5 "7"
"1071" 9.3 0.33 0.45 1.5 0.057 19 37 0.99498 3.18 0.89 11.1 "7"
"559" 10.9 0.53 0.49 4.6 0.118 10 17 1.0002 3.07 0.56 11.7 "6"
"973" 10.1 0.38 0.5 2.4 0.104 6 13 0.99643 3.22 0.65 11.6 "7"
"233" 8.5 0.37 0.2 2.8 0.09 18 58 0.998 3.34 0.7 9.6 "6"
"1546" 6.5 0.63 0.33 1.8 0.059 16 28 0.99531 3.36 0.64 10.1 "6"
"655" 8.6 0.47 0.47 2.4 0.074 7 29 0.9979 3.08 0.46 9.5 "5"
"9" 7.8 0.58 0.02 2 0.073 9 18 0.9968 3.36 0.57 9.5 "7"
"1278" 7 0.69 0 1.9 0.114 3 10 0.99636 3.35 0.6 9.7 "6"
"90" 7 0.62 0.08 1.8 0.076 8 24 0.9978 3.48 0.53 9 "5"
"1551" 7.1 0.68 0 2.3 0.087 17 26 0.99783 3.45 0.53 9.5 "5"
"1543" 6.7 0.855 0.02 1.9 0.064 29 38 0.99472 3.3 0.56 10.75 "6"
"129" 8 0.59 0.16 1.8 0.065 3 16 0.9962 3.42 0.92 10.5 "7"
"547" 7.5 0.55 0.24 2 0.078 10 28 0.9983 3.45 0.78 9.5 "6"
"250" 7.3 0.66 0 2 0.084 6 23 0.9983 3.61 0.96 9.9 "6"
"1198" 7.7 0.57 0.21 1.5 0.069 4 9 0.99458 3.16 0.54 9.8 "6"
"1249" 6.9 0.41 0.33 2.2 0.081 22 36 0.9949 3.41 0.75 11.1 "6"
"1496" 7 0.43 0.02 1.9 0.08 15 28 0.99492 3.35 0.81 10.6 "6"
"773" 9.5 0.57 0.27 2.3 0.082 23 144 0.99782 3.27 0.55 9.4 "5"
"561" 12.7 0.6 0.49 2.8 0.075 5 19 0.9994 3.14 0.57 11.4 "5"
"1353" 7.6 0.645 0.03 1.9 0.086 14 57 0.9969 3.37 0.46 10.3 "5"
"16" 8.9 0.62 0.19 3.9 0.17 51 148 0.9986 3.17 0.93 9.2 "5"
"121" 7.3 1.07 0.09 1.7 0.178 10 89 0.9962 3.3 0.57 9 "5"
"931" 6.6 0.61 0.01 1.9 0.08 8 25 0.99746 3.69 0.73 10.5 "5"
"876" 8.8 0.31 0.4 2.8 0.109 7 16 0.99614 3.31 0.79 11.8 "7"
"696" 5.1 0.47 0.02 1.3 0.034 18 44 0.9921 3.9 0.62 12.8 "6"
"434" 12.3 0.39 0.63 2.3 0.091 6 18 1.0004 3.16 0.49 9.5 "5"
"173" 8 0.42 0.17 2 0.073 6 18 0.9972 3.29 0.61 9.2 "6"
"952" 8.3 0.28 0.48 2.1 0.093 6 12 0.99408 3.26 0.62 12.4 "7"
"187" 7.4 0.39 0.48 2 0.082 14 67 0.9972 3.34 0.55 9.2 "5"
"1251" 7.1 0.6 0.01 2.3 0.079 24 37 0.99514 3.4 0.61 10.9 "6"
"399" 11.5 0.59 0.59 2.6 0.087 13 49 0.9988 3.18 0.65 11 "6"
"824" 6.7 0.54 0.13 2 0.076 15 36 0.9973 3.61 0.64 9.8 "5"
"1351" 9 0.6 0.29 2 0.069 32 73 0.99654 3.34 0.57 10 "5"
"50" 5.6 0.31 0.37 1.4 0.074 12 96 0.9954 3.32 0.58 9.2 "5"
"1550" 7.4 0.36 0.3 1.8 0.074 17 24 0.99419 3.24 0.7 11.4 "8"
"331" 10.2 0.36 0.64 2.9 0.122 10 41 0.998 3.23 0.66 12.5 "6"
"631" 8.7 0.54 0.26 2.5 0.097 7 31 0.9976 3.27 0.6 9.3 "6"
"576" 12.3 0.27 0.49 3.1 0.079 28 46 0.9993 3.2 0.8 10.2 "6"
"903" 7.4 0.635 0.1 2.4 0.08 16 33 0.99736 3.58 0.69 10.8 "7"
"66" 7.2 0.725 0.05 4.65 0.086 4 11 0.9962 3.41 0.39 10.9 "5"
"1161" 10.6 0.36 0.57 2.3 0.087 6 20 0.99676 3.14 0.72 11.1 "7"
"454" 10.4 0.33 0.63 2.8 0.084 5 22 0.9998 3.26 0.74 11.2 "7"
"396" 12 0.37 0.76 4.2 0.066 7 38 1.0004 3.22 0.6 13 "7"
"1326" 6.7 0.46 0.24 1.7 0.077 18 34 0.9948 3.39 0.6 10.6 "6"
"781" 7 0.57 0 2 0.19 12 45 0.99676 3.31 0.6 9.4 "6"
"1215" 10.2 0.33 0.46 1.9 0.081 6 9 0.99628 3.1 0.48 10.4 "6"
"255" 7.1 0.6 0 1.8 0.074 16 34 0.9972 3.47 0.7 9.9 "6"
"320" 9.6 0.77 0.12 2.9 0.082 30 74 0.99865 3.3 0.64 10.4 "6"
"212" 8 0.725 0.24 2.8 0.083 10 62 0.99685 3.35 0.56 10 "6"
"317" 9.6 0.56 0.23 3.4 0.102 37 92 0.9996 3.3 0.65 10.1 "5"
"1202" 7.9 0.34 0.36 1.9 0.065 5 10 0.99419 3.27 0.54 11.2 "7"
"630" 7.6 0.685 0.23 2.3 0.111 20 84 0.9964 3.21 0.61 9.3 "5"
"1568" 7.2 0.695 0.13 2 0.076 12 20 0.99546 3.29 0.54 10.1 "5"
"898" 7.1 0.59 0.01 2.3 0.08 27 43 0.9955 3.42 0.58 10.7 "6"
"743" 6.5 0.615 0 1.9 0.065 9 18 0.9972 3.46 0.65 9.2 "5"
"1401" 7.9 0.69 0.21 2.1 0.08 33 141 0.9962 3.25 0.51 9.9 "5"
"746" 7.3 0.51 0.18 2.1 0.07 12 28 0.99768 3.52 0.73 9.5 "6"
"840" 6 0.5 0.04 2.2 0.092 13 26 0.99647 3.46 0.47 10 "5"
"1229" 5.1 0.42 0 1.8 0.044 18 88 0.99157 3.68 0.73 13.6 "7"
"1445" 7.3 0.67 0.02 2.2 0.072 31 92 0.99566 3.32 0.68 11.1 "6"
"889" 6.8 0.57 0 2.5 0.072 32 64 0.99491 3.43 0.56 11.2 "6"
"1376" 7.2 0.56 0.26 2 0.083 13 100 0.99586 3.26 0.52 9.9 "5"
"1116" 7 0.69 0.07 2.5 0.091 15 21 0.99572 3.38 0.6 11.3 "6"
"223" 6.8 0.61 0.04 1.5 0.057 5 10 0.99525 3.42 0.6 9.5 "5"
"1063" 8 0.38 0.44 1.9 0.098 6 15 0.9956 3.3 0.64 11.4 "6"
"140" 7.8 0.56 0.19 2 0.081 17 108 0.9962 3.32 0.54 9.5 "5"
"964" 8.8 0.27 0.39 2 0.1 20 27 0.99546 3.15 0.69 11.2 "6"
"1348" 7.2 0.655 0.03 1.8 0.078 7 12 0.99587 3.34 0.39 9.5 "5"
"1454" 7.6 0.49 0.33 1.9 0.074 27 85 0.99706 3.41 0.58 9 "5"
"17" 8.5 0.28 0.56 1.8 0.092 35 103 0.9969 3.3 0.75 10.5 "7"
"1236" 6 0.33 0.32 12.9 0.054 6 113 0.99572 3.3 0.56 11.5 "4"
"234" 6.9 0.52 0.25 2.6 0.081 10 37 0.99685 3.46 0.5 11 "5"
"1396" 8.6 0.685 0.1 1.6 0.092 3 12 0.99745 3.31 0.65 9.55 "6"
"1002" 9.9 0.35 0.38 1.5 0.058 31 47 0.99676 3.26 0.82 10.6 "7"
"1246" 7.4 0.55 0.19 1.8 0.082 15 34 0.99655 3.49 0.68 10.5 "5"
"1258" 7 0.58 0.28 4.8 0.085 12 69 0.99633 3.32 0.7 11 "6"
"153" 7.5 0.6 0.03 1.8 0.095 25 99 0.995 3.35 0.54 10.1 "5"
"319" 9.8 0.66 0.39 3.2 0.083 21 59 0.9989 3.37 0.71 11.5 "7"
"12" 7.5 0.5 0.36 6.1 0.071 17 102 0.9978 3.35 0.8 10.5 "5"
"733" 7.3 0.835 0.03 2.1 0.092 10 19 0.9966 3.39 0.47 9.6 "5"
"1077" 9.9 0.32 0.56 2 0.073 3 8 0.99534 3.15 0.73 11.4 "6"
"843" 10.6 0.5 0.45 2.6 0.119 34 68 0.99708 3.23 0.72 10.9 "6"
"1428" 7.6 0.41 0.33 2.5 0.078 6 23 0.9957 3.3 0.58 11.2 "5"
"88" 7.7 0.49 0.26 1.9 0.062 9 31 0.9966 3.39 0.64 9.6 "5"
"107" 7.8 0.41 0.68 1.7 0.467 18 69 0.9973 3.08 1.31 9.3 "5"
"1098" 8.6 0.52 0.38 1.5 0.096 5 18 0.99666 3.2 0.52 9.4 "5"
"1507" 6.8 0.81 0.05 2 0.07 6 14 0.99562 3.51 0.66 10.8 "6"
"350" 9.1 0.785 0 2.6 0.093 11 28 0.9994 3.36 0.86 9.4 "6"
"1295" 8.2 0.635 0.1 2.1 0.073 25 60 0.99638 3.29 0.75 10.9 "6"
"219" 7.5 0.49 0.19 1.9 0.076 10 44 0.9957 3.39 0.54 9.7 "5"
"919" 8.4 0.36 0.32 2.2 0.081 32 79 0.9964 3.3 0.72 11 "6"
"43" 7.5 0.49 0.2 2.6 0.332 8 14 0.9968 3.21 0.9 10.5 "6"
"1415" 10 0.32 0.59 2.2 0.077 3 15 0.9994 3.2 0.78 9.6 "5"
"520" 7.3 0.365 0.49 2.5 0.088 39 106 0.9966 3.36 0.78 11 "5"
"1441" 7.2 0.37 0.32 2 0.062 15 28 0.9947 3.23 0.73 11.3 "7"
"127" 8.2 1.33 0 1.7 0.081 3 12 0.9964 3.53 0.49 10.9 "5"
"217" 8.7 0.625 0.16 2 0.101 13 49 0.9962 3.14 0.57 11 "5"
"540" 11.2 0.5 0.74 5.15 0.1 5 17 0.9996 3.22 0.62 11.2 "5"
"1540" 7.2 0.39 0.32 1.8 0.065 34 60 0.99714 3.46 0.78 9.9 "5"
"225" 8.4 0.635 0.36 2 0.089 15 55 0.99745 3.31 0.57 10.4 "4"
"546" 9.1 0.47 0.49 2.6 0.094 38 106 0.9982 3.08 0.59 9.1 "5"
"1316" 7.5 0.63 0.27 2 0.083 17 91 0.99616 3.26 0.58 9.8 "6"
"343" 10.9 0.39 0.47 1.8 0.118 6 14 0.9982 3.3 0.75 9.8 "6"
"1349" 7.2 0.655 0.03 1.8 0.078 7 12 0.99587 3.34 0.39 9.5 "5"
"640" 8.9 0.29 0.35 1.9 0.067 25 57 0.997 3.18 1.36 10.3 "6"
"1061" 11.6 0.23 0.57 1.8 0.074 3 8 0.9981 3.14 0.7 9.9 "6"
"924" 6.8 0.41 0.31 8.8 0.084 26 45 0.99824 3.38 0.64 10.1 "6"
"527" 7.3 0.365 0.49 2.5 0.088 39 106 0.9966 3.36 0.78 11 "5"
"1298" 7.2 0.53 0.14 2.1 0.064 15 29 0.99323 3.35 0.61 12.1 "6"
"1594" 6.8 0.62 0.08 1.9 0.068 28 38 0.99651 3.42 0.82 9.5 "6"
